ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
izon1238-2-1-1,,izon1238-2,1,kẹnị́,kẹnị́,[],(ẹ = IPA [ɛ]),['chan2019'],,False,False,,2
izon1238-2-1-2,,izon1238-2,1,ị = IPA [ɪ],ị = IPA [ɪ],[],,['chan2019'],,False,True,,2
izon1238-2-2-1,,izon1238-2,2,mamụ́,mamụ́,[],,['chan2019'],,False,False,,2
izon1238-2-3-1,,izon1238-2,3,tǎrụ,tǎrụ,[],( ụ=IPA [ʊ]),['chan2019'],,False,False,,2
izon1238-2-4-1,,izon1238-2,4,nóín,nóín,[],,['chan2019'],,False,False,,2
izon1238-2-5-1,,izon1238-2,5,sọ́nrọ́n =sɔ̃́rɔ̃́ ?,sọ́nrọ́n =sɔ̃́rɔ̃́ ?,[],,['chan2019'],,False,True,,2
izon1238-2-6-1,,izon1238-2,6,sǒndie,sǒndie,[],,['chan2019'],,False,False,,2
izon1238-2-7-1,,izon1238-2,7,sọ́nọ́ma,sọ́nọ́ma,[],,['chan2019'],,False,False,,2
izon1238-2-8-1,,izon1238-2,8,nínɡíni,nínɡíni,[],,['chan2019'],,False,False,,2
izon1238-2-9-1,,izon1238-2,9,isé,isé,[],,['chan2019'],,False,False,,2
izon1238-2-10-1,,izon1238-2,10,óí,óí,[],,['chan2019'],,False,False,,2
izon1238-2-11-1,,izon1238-2,11,óí kẹnị́ fị́nị́,óí kẹnị́ fị́nị́,[],(ten and one),['chan2019'],,False,False,,2
izon1238-2-12-1,,izon1238-2,12,óí mamụ́ fị́nị́,óí mamụ́ fị́nị́,[],,['chan2019'],,False,False,,2
izon1238-2-13-1,,izon1238-2,13,óí tǎrụ fị́nị́,óí tǎrụ fị́nị́,[],,['chan2019'],,False,False,,2
izon1238-2-14-1,,izon1238-2,14,óí nóín fị́nị́,óí nóín fị́nị́,[],,['chan2019'],,False,False,,2
izon1238-2-15-1,,izon1238-2,15,óí sọ́nrọ́n fị́nị́ or dié,óí sọ́nrọ́n fị́nị́ or dié,[],,['chan2019'],,False,True,,2
izon1238-2-16-1,,izon1238-2,16,óí sǒndiefị́nị́,óí sǒndiefị́nị́,[],,['chan2019'],,False,False,,2
izon1238-2-17-1,,izon1238-2,17,óí sọ́nọ́ma fị́nị́,óí sọ́nọ́ma fị́nị́,[],,['chan2019'],,False,False,,2
izon1238-2-18-1,,izon1238-2,18,óí nínɡíni fị́nị́,óí nínɡíni fị́nị́,[],,['chan2019'],,False,False,,2
izon1238-2-19-1,,izon1238-2,19,óí isé fị́nị́,óí isé fị́nị́,[],,['chan2019'],,False,False,,2
izon1238-2-20-1,,izon1238-2,20,ma óí,ma óí,[],(litː 'two tens'),['chan2019'],,False,False,,2
izon1238-2-21-1,,izon1238-2,21,ma oí kẹnị́ fị́nị́,ma oí kẹnị́ fị́nị́,[],,['chan2019'],,False,False,,2
izon1238-2-30-1,,izon1238-2,30,tárá óí,tárá óí,[],,['chan2019'],,False,False,,2
izon1238-2-40-1,,izon1238-2,40,nóín óí,nóín óí,[],,['chan2019'],,False,False,,2
izon1238-2-50-1,,izon1238-2,50,sọ́nrọ́n óí,sọ́nrọ́n óí,[],,['chan2019'],,False,False,,2
izon1238-2-60-1,,izon1238-2,60,sǒndie óí,sǒndie óí,[],,['chan2019'],,False,False,,2
izon1238-2-70-1,,izon1238-2,70,sọ́nọ́ma óí,sọ́nọ́ma óí,[],,['chan2019'],,False,False,,2
izon1238-2-80-1,,izon1238-2,80,nínɡíni óí,nínɡíni óí,[],,['chan2019'],,False,False,,2
izon1238-2-90-1,,izon1238-2,90,isé óí,isé óí,[],,['chan2019'],,False,False,,2
izon1238-2-100-1,,izon1238-2,100,akpaá,akpaá,[],,['chan2019'],,False,False,,2
izon1238-2-100-2,,izon1238-2,100,ọdọ́zọ́,ọdọ́zọ́,[],,['chan2019'],,False,False,,2
izon1238-2-200-1,,izon1238-2,200,ma ọdọ́zó,ma ọdọ́zó,[],,['chan2019'],,False,False,,2
izon1238-2-1000-1,,izon1238-2,1000,ọɡị́zị́,ọɡị́zị́,[],,['chan2019'],,False,False,,2
izon1238-2-2000-1,,izon1238-2,2000,ma ọɡị́zị́,ma ọɡị́zị́,[],,['chan2019'],,False,False,,2
