ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
taga1270-1-1-1,,taga1270-1,1,ʔi'sa,ʔi'sa,[],,['chan2019'],,False,False,,1
taga1270-1-2-1,,taga1270-1,2,dala'wa,dala'wa,[],,['chan2019'],,False,False,,1
taga1270-1-3-1,,taga1270-1,3,tat'lo,tat'lo,[],,['chan2019'],,False,False,,1
taga1270-1-4-1,,taga1270-1,4,'ʔapat,'ʔapat,[],,['chan2019'],,False,False,,1
taga1270-1-5-1,,taga1270-1,5,li'ma,li'ma,[],,['chan2019'],,False,False,,1
taga1270-1-6-1,,taga1270-1,6,'ʔanim,'ʔanim,[],,['chan2019'],,False,False,,1
taga1270-1-7-1,,taga1270-1,7,pi'to,pi'to,[],,['chan2019'],,False,False,,1
taga1270-1-8-1,,taga1270-1,8,wa'lo,wa'lo,[],,['chan2019'],,False,False,,1
taga1270-1-9-1,,taga1270-1,9,si'yam,si'yam,[],,['chan2019'],,False,False,,1
taga1270-1-10-1,,taga1270-1,10,sam'puʔ,sam'puʔ,[],,['chan2019'],,False,False,,1
taga1270-1-11-1,,taga1270-1,11,labiŋʔ'sa,labiŋʔ'sa,[],,['chan2019'],,False,False,,1
taga1270-1-12-1,,taga1270-1,12,labindala'wa,labindala'wa,[],,['chan2019'],,False,False,,1
taga1270-1-13-1,,taga1270-1,13,labintat'lo,labintat'lo,[],,['chan2019'],,False,False,,1
taga1270-1-14-1,,taga1270-1,14,labiŋ'ʔapat,labiŋ'ʔapat,[],,['chan2019'],,False,False,,1
taga1270-1-15-1,,taga1270-1,15,labinli'ma,labinli'ma,[],,['chan2019'],,False,False,,1
taga1270-1-16-1,,taga1270-1,16,labiŋʔa'nim,labiŋʔa'nim,[],,['chan2019'],,False,False,,1
taga1270-1-17-1,,taga1270-1,17,labimp'ito,labimp'ito,[],,['chan2019'],,False,False,,1
taga1270-1-18-1,,taga1270-1,18,labiŋwa'lo,labiŋwa'lo,[],,['chan2019'],,False,False,,1
taga1270-1-19-1,,taga1270-1,19,labinsi'yam,labinsi'yam,[],,['chan2019'],,False,False,,1
taga1270-1-20-1,,taga1270-1,20,dalawam'pu,dalawam'pu,[],(ʔoʔ),['chan2019'],,False,False,,1
taga1270-1-21-1,,taga1270-1,21,dalawam'puʔt ʔi'sa,dalawam'puʔt ʔi'sa,[],,['chan2019'],,False,False,,1
taga1270-1-22-1,,taga1270-1,22,dalawam'puʔt dala'wa,dalawam'puʔt dala'wa,[],,['chan2019'],,False,False,,1
taga1270-1-23-1,,taga1270-1,23,dalawam'puʔt tat'lo,dalawam'puʔt tat'lo,[],,['chan2019'],,False,False,,1
taga1270-1-24-1,,taga1270-1,24,dalawam'puʔt 'ʔapat,dalawam'puʔt 'ʔapat,[],,['chan2019'],,False,False,,1
taga1270-1-25-1,,taga1270-1,25,dalawam'puʔt li'ma,dalawam'puʔt li'ma,[],,['chan2019'],,False,False,,1
taga1270-1-26-1,,taga1270-1,26,dalawam'puʔt 'ʔanim,dalawam'puʔt 'ʔanim,[],,['chan2019'],,False,False,,1
taga1270-1-27-1,,taga1270-1,27,dalawam'puʔt pi'to,dalawam'puʔt pi'to,[],,['chan2019'],,False,False,,1
taga1270-1-28-1,,taga1270-1,28,dalawam'puʔt wa'lo,dalawam'puʔt wa'lo,[],,['chan2019'],,False,False,,1
taga1270-1-29-1,,taga1270-1,29,dalawam'puʔt si'yam,dalawam'puʔt si'yam,[],,['chan2019'],,False,False,,1
taga1270-1-30-1,,taga1270-1,30,tatlum'puʔ,tatlum'puʔ,[],,['chan2019'],,False,False,,1
taga1270-1-40-1,,taga1270-1,40,ʔapatna'puʔ,ʔapatna'puʔ,[],,['chan2019'],,False,False,,1
taga1270-1-50-1,,taga1270-1,50,limam'puʔ,limam'puʔ,[],,['chan2019'],,False,False,,1
taga1270-1-60-1,,taga1270-1,60,ʔanimna'puʔ,ʔanimna'puʔ,[],,['chan2019'],,False,False,,1
taga1270-1-70-1,,taga1270-1,70,pitum'puʔ,pitum'puʔ,[],,['chan2019'],,False,False,,1
taga1270-1-80-1,,taga1270-1,80,walum'puʔ,walum'puʔ,[],,['chan2019'],,False,False,,1
taga1270-1-90-1,,taga1270-1,90,siyamna'puʔ,siyamna'puʔ,[],,['chan2019'],,False,False,,1
taga1270-1-100-1,,taga1270-1,100,ʔis'aŋ da'ʔan,ʔis'aŋ da'ʔan,[],,['chan2019'],,False,False,,1
taga1270-1-100-2,,taga1270-1,100,sanda'ʔan,sanda'ʔan,[],,['chan2019'],,False,False,,1
taga1270-1-200-1,,taga1270-1,200,dala'waŋ da'ʔan,dala'waŋ da'ʔan,[],,['chan2019'],,False,False,,1
taga1270-1-1000-1,,taga1270-1,1000,ʔis'aŋ 'ribo,ʔis'aŋ 'ribo,[],,['chan2019'],,False,False,,1
taga1270-1-1000-2,,taga1270-1,1000,san'libo,san'libo,[],,['chan2019'],,False,False,,1
taga1270-1-2000-1,,taga1270-1,2000,dala'waŋ 'ribo,dala'waŋ 'ribo,[],,['chan2019'],,False,False,,1
