ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
main1275-1-1-1,,main1275-1,1,t͡ʃa,t͡ʃa,[],,['chan2019'],,False,False,ca,1
main1275-1-2-1,,main1275-1,2,dua,dua,[],,['chan2019'],,False,False,,1
main1275-1-3-1,,main1275-1,3,təlu,təlu,[],,['chan2019'],,False,False,,1
main1275-1-4-1,,main1275-1,4,pat,pat,[],,['chan2019'],,False,False,,1
main1275-1-5-1,,main1275-1,5,ləma,ləma,[],,['chan2019'],,False,False,,1
main1275-1-6-1,,main1275-1,6,nəm,nəm,[],,['chan2019'],,False,False,,1
main1275-1-7-1,,main1275-1,7,tud͡ʒoʔ,tud͡ʒoʔ,[],,['chan2019'],,False,False,tujoʔ,1
main1275-1-8-1,,main1275-1,8,aja,aja,[],,['chan2019'],,False,False,aya,1
main1275-1-9-1,,main1275-1,9,piʔən,piʔən,[],,['chan2019'],,False,False,,1
main1275-1-10-1,,main1275-1,10,puloʔ,puloʔ,[],,['chan2019'],,False,False,,1
main1275-1-100-1,,main1275-1,100,ato,ato,[],,['chan2019'],,False,False,,1
main1275-1-1000-1,,main1275-1,1000,ibu,ibu,[],,['chan2019'],,False,False,,1
