ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
batu1258-1-1-1,,batu1258-1,1,ʔɛt,ʔɛt,[],,['chan2019'],,False,False,,1
batu1258-1-2-1,,batu1258-1,2,ru,ru,[],,['chan2019'],,False,False,,1
batu1258-1-3-1,,batu1258-1,3,laɛs,laɛs,[],,['chan2019'],,False,False,,1
batu1258-1-4-1,,batu1258-1,4,kaw,kaw,[],,['chan2019'],,False,False,,1
batu1258-1-5-1,,batu1258-1,5,lim,lim,[],,['chan2019'],,False,False,,1
batu1258-1-6-1,,batu1258-1,6,dum,dum,[],,['chan2019'],,False,False,,1
batu1258-1-7-1,,batu1258-1,7,du'bam,du'bam,[],,['chan2019'],,False,False,,1
batu1258-1-8-1,,batu1258-1,8,ka'ru,ka'ru,[],(litː 'four two=2 x 4'),['chan2019'],,False,False,,1
batu1258-1-9-1,,batu1258-1,9,ser,ser,[],,['chan2019'],,False,False,,1
batu1258-1-10-1,,batu1258-1,10,ʔur'ɸaiɸ,ʔur'ɸaiɸ,[],,['chan2019'],,False,False,,1
batu1258-1-11-1,,batu1258-1,11,ʔur'ɸaiɸ ɛŋ ʔɛt,ʔur'ɸaiɸ ɛŋ ʔɛt,[],,['chan2019'],,False,False,,1
batu1258-1-13-1,,batu1258-1,13,ʔur'ɸaiɸ ɛŋ laɛs,ʔur'ɸaiɸ ɛŋ laɛs,[],,['chan2019'],,False,False,,1
batu1258-1-14-1,,batu1258-1,14,ʔur'ɸaiɸ ɛŋ kaw,ʔur'ɸaiɸ ɛŋ kaw,[],,['chan2019'],,False,False,,1
batu1258-1-15-1,,batu1258-1,15,ʔur'ɸaiɸ ɛŋ lim,ʔur'ɸaiɸ ɛŋ lim,[],,['chan2019'],,False,False,,1
batu1258-1-16-1,,batu1258-1,16,ʔur'ɸaiɸ ɛŋ dum,ʔur'ɸaiɸ ɛŋ dum,[],,['chan2019'],,False,False,,1
batu1258-1-17-1,,batu1258-1,17,ʔur'ɸaiɸ ɛŋ du'bam,ʔur'ɸaiɸ ɛŋ du'bam,[],,['chan2019'],,False,False,,1
batu1258-1-18-1,,batu1258-1,18,ʔur'ɸaiɸ ɛŋ ka'ru,ʔur'ɸaiɸ ɛŋ ka'ru,[],,['chan2019'],,False,False,,1
batu1258-1-19-1,,batu1258-1,19,ʔur'ɸaiɸ ɛŋ ser,ʔur'ɸaiɸ ɛŋ ser,[],,['chan2019'],,False,False,,1
batu1258-1-20-1,,batu1258-1,20,ʔurɸ ru,ʔurɸ ru,[],,['chan2019'],,False,False,,1
batu1258-1-21-1,,batu1258-1,21,ʔuruɸ ru ɛŋ ʔɛt,ʔuruɸ ru ɛŋ ʔɛt,[],,['chan2019'],,False,False,,1
batu1258-1-22-1,,batu1258-1,22,ʔuruɸ ru ɛŋ ru,ʔuruɸ ru ɛŋ ru,[],,['chan2019'],,False,False,,1
batu1258-1-23-1,,batu1258-1,23,ʔuruɸ ru ɛŋ laɛs,ʔuruɸ ru ɛŋ laɛs,[],,['chan2019'],,False,False,,1
batu1258-1-24-1,,batu1258-1,24,ʔuruɸ ru ɛŋ kaw,ʔuruɸ ru ɛŋ kaw,[],,['chan2019'],,False,False,,1
batu1258-1-25-1,,batu1258-1,25,ʔuruɸ ru ɛŋ lim,ʔuruɸ ru ɛŋ lim,[],,['chan2019'],,False,False,,1
batu1258-1-26-1,,batu1258-1,26,ʔuruɸ ru ɛŋ dum,ʔuruɸ ru ɛŋ dum,[],,['chan2019'],,False,False,,1
batu1258-1-27-1,,batu1258-1,27,ʔuruɸ ru ɛŋ du'bam,ʔuruɸ ru ɛŋ du'bam,[],,['chan2019'],,False,False,,1
batu1258-1-28-1,,batu1258-1,28,ʔuruɸ ru ɛŋ ka'ru,ʔuruɸ ru ɛŋ ka'ru,[],,['chan2019'],,False,False,,1
batu1258-1-29-1,,batu1258-1,29,ʔuruɸ ru ɛŋ ser,ʔuruɸ ru ɛŋ ser,[],,['chan2019'],,False,False,,1
batu1258-1-30-1,,batu1258-1,30,ʔuruɸ laɛs,ʔuruɸ laɛs,[],,['chan2019'],,False,False,,1
batu1258-1-40-1,,batu1258-1,40,ʔur kaw,ʔur kaw,[],,['chan2019'],,False,False,,1
batu1258-1-50-1,,batu1258-1,50,ʔur lim,ʔur lim,[],,['chan2019'],,False,False,,1
batu1258-1-60-1,,batu1258-1,60,ʔur dum,ʔur dum,[],,['chan2019'],,False,False,,1
batu1258-1-70-1,,batu1258-1,70,ʔur du'bam,ʔur du'bam,[],,['chan2019'],,False,False,,1
batu1258-1-80-1,,batu1258-1,80,ʔur ka'ru,ʔur ka'ru,[],,['chan2019'],,False,False,,1
batu1258-1-90-1,,batu1258-1,90,ʔur ser,ʔur ser,[],,['chan2019'],,False,False,,1
batu1258-1-100-1,,batu1258-1,100,rati,rati,[],,['chan2019'],,False,False,,1
batu1258-1-100-2,,batu1258-1,100,rat ʔɛt,rat ʔɛt,[],,['chan2019'],,False,False,,1
batu1258-1-200-1,,batu1258-1,200,rat ru,rat ru,[],,['chan2019'],,False,False,,1
batu1258-1-1000-1,,batu1258-1,1000,riɸuni or rifuni ʔɛt,riɸuni or rifuni ʔɛt,[],,['chan2019'],,False,True,,1
batu1258-1-2000-1,,batu1258-1,2000,riɸun ru run,riɸun ru run,[],,['chan2019'],,False,False,,1
