ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
pnar1238-5-1-1,,pnar1238-5,1,wiː,wiː,[],,['chan2019'],,False,False,,5
pnar1238-5-2-1,,pnar1238-5,2,ʔar,ʔar,[],,['chan2019'],,False,False,,5
pnar1238-5-3-1,,pnar1238-5,3,leː,leː,[],,['chan2019'],,False,False,,5
pnar1238-5-4-1,,pnar1238-5,4,sɔː,sɔː,[],,['chan2019'],,False,False,,5
pnar1238-5-5-1,,pnar1238-5,5,san,san,[],,['chan2019'],,False,False,,5
pnar1238-5-6-1,,pnar1238-5,6,nru,nru,[],,['chan2019'],,False,False,,5
pnar1238-5-7-1,,pnar1238-5,7,ɲɲaw,ɲɲaw,[],,['chan2019'],,False,False,,5
pnar1238-5-8-1,,pnar1238-5,8,pʰraː,pʰraː,[],,['chan2019'],,False,False,,5
pnar1238-5-9-1,,pnar1238-5,9,kʰⁿdeː,kʰⁿdeː,[],,['chan2019'],,False,False,,5
pnar1238-5-10-1,,pnar1238-5,10,pʰaw,pʰaw,[],,['chan2019'],,False,False,,5
pnar1238-5-11-1,,pnar1238-5,11,pʰaw wiː,pʰaw wiː,[],,['chan2019'],,False,False,,5
pnar1238-5-12-1,,pnar1238-5,12,pʰaw ʔar,pʰaw ʔar,[],,['chan2019'],,False,False,,5
pnar1238-5-13-1,,pnar1238-5,13,pʰaw leː,pʰaw leː,[],,['chan2019'],,False,False,,5
pnar1238-5-14-1,,pnar1238-5,14,pʰaw sɔː,pʰaw sɔː,[],,['chan2019'],,False,False,,5
pnar1238-5-15-1,,pnar1238-5,15,pʰaw san,pʰaw san,[],,['chan2019'],,False,False,,5
pnar1238-5-16-1,,pnar1238-5,16,pʰaw nru,pʰaw nru,[],,['chan2019'],,False,False,,5
pnar1238-5-17-1,,pnar1238-5,17,pʰaw ɲɲaw,pʰaw ɲɲaw,[],,['chan2019'],,False,False,,5
pnar1238-5-18-1,,pnar1238-5,18,pʰaw pʰraː,pʰaw pʰraː,[],,['chan2019'],,False,False,,5
pnar1238-5-19-1,,pnar1238-5,19,pʰaw kʰⁿdeː,pʰaw kʰⁿdeː,[],,['chan2019'],,False,False,,5
pnar1238-5-20-1,,pnar1238-5,20,ʔarpʰaw,ʔarpʰaw,[],,['chan2019'],,False,False,,5
pnar1238-5-21-1,,pnar1238-5,21,ʔarpʰawwiː,ʔarpʰawwiː,[],,['chan2019'],,False,False,,5
pnar1238-5-22-1,,pnar1238-5,22,ʔarpʰaw ʔar,ʔarpʰaw ʔar,[],,['chan2019'],,False,False,,5
pnar1238-5-23-1,,pnar1238-5,23,ʔarpʰaw leː,ʔarpʰaw leː,[],,['chan2019'],,False,False,,5
pnar1238-5-24-1,,pnar1238-5,24,ʔarpʰaw sɔː,ʔarpʰaw sɔː,[],,['chan2019'],,False,False,,5
pnar1238-5-25-1,,pnar1238-5,25,ʔarpʰaw san,ʔarpʰaw san,[],,['chan2019'],,False,False,,5
pnar1238-5-26-1,,pnar1238-5,26,ʔarpʰaw nru,ʔarpʰaw nru,[],,['chan2019'],,False,False,,5
pnar1238-5-27-1,,pnar1238-5,27,ʔarpʰaw ɲɲaw,ʔarpʰaw ɲɲaw,[],,['chan2019'],,False,False,,5
pnar1238-5-28-1,,pnar1238-5,28,ʔarpʰaw pʰraː,ʔarpʰaw pʰraː,[],,['chan2019'],,False,False,,5
pnar1238-5-29-1,,pnar1238-5,29,ʔarpʰaw kʰⁿdeː,ʔarpʰaw kʰⁿdeː,[],,['chan2019'],,False,False,,5
pnar1238-5-30-1,,pnar1238-5,30,leː pʰaw,leː pʰaw,[],,['chan2019'],,False,False,,5
pnar1238-5-40-1,,pnar1238-5,40,sɔː pʰaw,sɔː pʰaw,[],,['chan2019'],,False,False,,5
pnar1238-5-50-1,,pnar1238-5,50,san pʰaw,san pʰaw,[],,['chan2019'],,False,False,,5
pnar1238-5-60-1,,pnar1238-5,60,nru pʰaw,nru pʰaw,[],,['chan2019'],,False,False,,5
pnar1238-5-70-1,,pnar1238-5,70,ɲɲaw pʰaw,ɲɲaw pʰaw,[],,['chan2019'],,False,False,,5
pnar1238-5-80-1,,pnar1238-5,80,pʰraː pʰaw,pʰraː pʰaw,[],,['chan2019'],,False,False,,5
pnar1238-5-90-1,,pnar1238-5,90,kʰⁿdeː pʰaw,kʰⁿdeː pʰaw,[],,['chan2019'],,False,False,,5
pnar1238-5-100-1,,pnar1238-5,100,spaʔ,spaʔ,[],,['chan2019'],,False,False,,5
pnar1238-5-200-1,,pnar1238-5,200,ʔarspaʔ,ʔarspaʔ,[],,['chan2019'],,False,False,,5
pnar1238-5-1000-1,,pnar1238-5,1000,had͡ʒaːr,had͡ʒaːr,[],< Indo-Aryan ,['chan2019'],,True,False,,5
pnar1238-5-2000-1,,pnar1238-5,2000,ʔar had͡ʒaːr,ʔar had͡ʒaːr,[],,['chan2019'],,False,False,,5
