ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
ndas1238-1-1-1,,ndas1238-1,1,-ootu,-ootu,[],,['chan2019'],,False,False,,1
ndas1238-1-2-1,,ndas1238-1,2,-ɔɔlɛ,-ɔɔlɛ,[],,['chan2019'],,False,False,,1
ndas1238-1-3-1,,ndas1238-1,3,-saatu,-saatu,[],,['chan2019'],,False,False,,1
ndas1238-1-4-1,,ndas1238-1,4,-nayi,-nayi,[],,['chan2019'],,False,False,,1
ndas1238-1-5-1,,ndas1238-1,5,-taani,-taani,[],,['chan2019'],,False,False,,1
ndas1238-1-6-1,,ndas1238-1,6,mu-tuba,mu-tuba,[],,['chan2019'],,False,False,,1
ndas1238-1-7-1,,ndas1238-1,7,t͡saami,t͡saami,[],,['chan2019'],,False,False,,1
ndas1238-1-8-1,,ndas1238-1,8,mwambi,mwambi,[],,['chan2019'],,False,False,,1
ndas1238-1-9-1,,ndas1238-1,9,i-vwa,i-vwa,[],,['chan2019'],,False,False,,1
ndas1238-1-10-1,,ndas1238-1,10,i-ku,i-ku,[],,['chan2019'],,False,False,,1
ndas1238-1-11-1,,ndas1238-1,11,i-ku na -ootu,i-ku na -ootu,[],,['chan2019'],,False,False,,1
ndas1238-1-12-1,,ndas1238-1,12,i-ku na -ɔɔlɛ,i-ku na -ɔɔlɛ,[],,['chan2019'],,False,False,,1
ndas1238-1-13-1,,ndas1238-1,13,i-ku na -saatu,i-ku na -saatu,[],,['chan2019'],,False,False,,1
ndas1238-1-14-1,,ndas1238-1,14,i-ku na -nayi,i-ku na -nayi,[],,['chan2019'],,False,False,,1
ndas1238-1-15-1,,ndas1238-1,15,i-ku na -taani,i-ku na -taani,[],,['chan2019'],,False,False,,1
ndas1238-1-16-1,,ndas1238-1,16,i-ku na mu-tuba,i-ku na mu-tuba,[],,['chan2019'],,False,False,,1
ndas1238-1-17-1,,ndas1238-1,17,i-ku na t͡saami,i-ku na t͡saami,[],,['chan2019'],,False,False,,1
ndas1238-1-18-1,,ndas1238-1,18,i-ku na mwambi,i-ku na mwambi,[],,['chan2019'],,False,False,,1
ndas1238-1-19-1,,ndas1238-1,19,i-ku n(a) i-vwa,i-ku n(a) i-vwa,[],,['chan2019'],,False,False,,1
ndas1238-1-20-1,,ndas1238-1,20,ma-ku m-ɔɔlɛ,ma-ku m-ɔɔlɛ,[],,['chan2019'],,False,False,,1
ndas1238-1-21-1,,ndas1238-1,21,ma-ku m-ɔɔlɛ na -ootu,ma-ku m-ɔɔlɛ na -ootu,[],,['chan2019'],,False,False,,1
ndas1238-1-22-1,,ndas1238-1,22,ma-ku m-ɔɔlɛ na -ɔɔlɛ,ma-ku m-ɔɔlɛ na -ɔɔlɛ,[],,['chan2019'],,False,False,,1
ndas1238-1-23-1,,ndas1238-1,23,ma-ku m-ɔɔlɛ na -saatu,ma-ku m-ɔɔlɛ na -saatu,[],,['chan2019'],,False,False,,1
ndas1238-1-24-1,,ndas1238-1,24,ma-ku m-ɔɔlɛ na -nayi,ma-ku m-ɔɔlɛ na -nayi,[],,['chan2019'],,False,False,,1
ndas1238-1-25-1,,ndas1238-1,25,ma-ku m-ɔɔlɛ na -taani,ma-ku m-ɔɔlɛ na -taani,[],,['chan2019'],,False,False,,1
ndas1238-1-26-1,,ndas1238-1,26,ma-ku m-ɔɔlɛ na mu-toba,ma-ku m-ɔɔlɛ na mu-toba,[],,['chan2019'],,False,False,,1
ndas1238-1-27-1,,ndas1238-1,27,ma-ku m-ɔɔlɛ na t͡saami,ma-ku m-ɔɔlɛ na t͡saami,[],,['chan2019'],,False,False,,1
ndas1238-1-28-1,,ndas1238-1,28,ma-ku m-ɔɔlɛ na mwambi,ma-ku m-ɔɔlɛ na mwambi,[],,['chan2019'],,False,False,,1
ndas1238-1-29-1,,ndas1238-1,29,ma-ku m-ɔɔlɛ n(a) i-vwa,ma-ku m-ɔɔlɛ n(a) i-vwa,[],,['chan2019'],,False,False,,1
ndas1238-1-30-1,,ndas1238-1,30,ma-ku ma-saatu,ma-ku ma-saatu,[],,['chan2019'],,False,False,,1
ndas1238-1-40-1,,ndas1238-1,40,ma-ku ma-nayi,ma-ku ma-nayi,[],,['chan2019'],,False,False,,1
ndas1238-1-50-1,,ndas1238-1,50,ma-ku ma-taani,ma-ku ma-taani,[],,['chan2019'],,False,False,,1
ndas1238-1-60-1,,ndas1238-1,60,ma-ku mu-tuba,ma-ku mu-tuba,[],,['chan2019'],,False,False,,1
ndas1238-1-70-1,,ndas1238-1,70,ma-ku t͡saami,ma-ku t͡saami,[],,['chan2019'],,False,False,,1
ndas1238-1-80-1,,ndas1238-1,80,ma-ku mwambi,ma-ku mwambi,[],,['chan2019'],,False,False,,1
ndas1238-1-90-1,,ndas1238-1,90,ma-ku i-vwa,ma-ku i-vwa,[],,['chan2019'],,False,False,,1
ndas1238-1-100-1,,ndas1238-1,100,kama,kama,[],,['chan2019'],,False,False,,1
ndas1238-1-200-1,,ndas1238-1,200,ma-kama m-ɔɔlɛ,ma-kama m-ɔɔlɛ,[],,['chan2019'],,False,False,,1
ndas1238-1-1000-1,,ndas1238-1,1000,i-ku d͡z-a ma-kama,i-ku d͡z-a ma-kama,[],( 10 x 100 ),['chan2019'],,False,False,,1
ndas1238-1-2000-1,,ndas1238-1,2000,i-ku d͡z-a ma-kama m-ɔɔlɛ,i-ku d͡z-a ma-kama m-ɔɔlɛ,[],,['chan2019'],,False,False,,1
