ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
baik1238-1-1-1,,baik1238-1,1,mesaʔ,mesaʔ,[],,[],,False,False,,1
baik1238-1-2-1,,baik1238-1,2,nua,nua,[],,[],,False,False,,1
baik1238-1-3-1,,baik1238-1,3,tenu,tenu,[],,[],,False,False,,1
baik1238-1-3-2,,baik1238-1,3,teun,teun,[],,[],,False,False,,1
baik1238-1-4-1,,baik1238-1,4,haː,haː,[],,[],,False,False,,1
baik1238-1-5-1,,baik1238-1,5,nim,nim,[],,[],,False,False,,1
baik1238-1-5-2,,baik1238-1,5,niːm,niːm,[],,[],,False,False,,1
baik1238-1-6-1,,baik1238-1,6,neʔe,neʔe,[],,[],,False,False,,1
baik1238-1-7-1,,baik1238-1,7,hitu,hitu,[],,[],,False,False,,1
baik1238-1-7-2,,baik1238-1,7,hiut,hiut,[],,[],,False,False,,1
baik1238-1-8-1,,baik1238-1,8,falu,falu,[],,[],,False,False,,1
baik1238-1-8-2,,baik1238-1,8,faun,faun,[],,[],,False,False,,1
baik1238-1-9-1,,baik1238-1,9,sio,sio,[],,[],,False,False,,1
baik1238-1-10-1,,baik1238-1,10,bɔʔ'es,bɔʔ'es,[],,[],,False,False,,1
baik1238-1-11-1,,baik1238-1,11,bɔʔ'es meseʔ,bɔʔ'es meseʔ,[],,[],,False,False,,1
baik1238-1-12-1,,baik1238-1,12,bɔʔ'es nua,bɔʔ'es nua,[],,[],,False,False,,1
baik1238-1-13-1,,baik1238-1,13,bɔʔ'es teun,bɔʔ'es teun,[],,[],,False,False,,1
baik1238-1-14-1,,baik1238-1,14,bɔʔ'es haː,bɔʔ'es haː,[],,[],,False,False,,1
baik1238-1-15-1,,baik1238-1,15,bɔʔ'es nim,bɔʔ'es nim,[],,[],,False,False,,1
baik1238-1-16-1,,baik1238-1,16,bɔʔ'es neʔe,bɔʔ'es neʔe,[],,[],,False,False,,1
baik1238-1-17-1,,baik1238-1,17,bɔʔ'es hiut,bɔʔ'es hiut,[],,[],,False,False,,1
baik1238-1-18-1,,baik1238-1,18,bɔʔ'es faun,bɔʔ'es faun,[],,[],,False,False,,1
baik1238-1-19-1,,baik1238-1,19,bɔʔ'es sio,bɔʔ'es sio,[],,[],,False,False,,1
baik1238-1-20-1,,baik1238-1,20,bo'nua,bo'nua,[],,[],,False,False,,1
baik1238-1-21-1,,baik1238-1,21,bo'nua mesaʔ,bo'nua mesaʔ,[],,[],,False,False,,1
baik1238-1-22-1,,baik1238-1,22,bo'nua nua,bo'nua nua,[],,[],,False,False,,1
baik1238-1-23-1,,baik1238-1,23,bo'nua teun,bo'nua teun,[],,[],,False,False,,1
baik1238-1-24-1,,baik1238-1,24,bo'nua haː,bo'nua haː,[],,[],,False,False,,1
baik1238-1-25-1,,baik1238-1,25,bo'nua nim,bo'nua nim,[],,[],,False,False,,1
baik1238-1-26-1,,baik1238-1,26,bo'nua neʔe,bo'nua neʔe,[],,[],,False,False,,1
baik1238-1-27-1,,baik1238-1,27,bo'nua hiun,bo'nua hiun,[],,[],,False,False,,1
baik1238-1-28-1,,baik1238-1,28,bo'nua faun,bo'nua faun,[],,[],,False,False,,1
baik1238-1-29-1,,baik1238-1,29,bo'nua sio,bo'nua sio,[],,[],,False,False,,1
baik1238-1-30-1,,baik1238-1,30,bo'teun,bo'teun,[],,[],,False,False,,1
baik1238-1-40-1,,baik1238-1,40,bo'haː,bo'haː,[],,[],,False,False,,1
baik1238-1-50-1,,baik1238-1,50,bo'niːm,bo'niːm,[],,[],,False,False,,1
baik1238-1-60-1,,baik1238-1,60,bo'neʔe,bo'neʔe,[],,[],,False,False,,1
baik1238-1-70-1,,baik1238-1,70,bo'hiut,bo'hiut,[],,[],,False,False,,1
baik1238-1-80-1,,baik1238-1,80,bo'faun,bo'faun,[],,[],,False,False,,1
baik1238-1-90-1,,baik1238-1,90,bo'sio,bo'sio,[],,[],,False,False,,1
baik1238-1-90-2,,baik1238-1,90,bo'seo,bo'seo,[],,[],,False,False,,1
baik1238-1-90-3,,baik1238-1,90,bo'sea,bo'sea,[],,[],,False,False,,1
baik1238-1-100-1,,baik1238-1,100,natun mesaʔ,natun mesaʔ,[],,[],,False,False,,1
baik1238-1-200-1,,baik1238-1,200,natun nua,natun nua,[],,[],,False,False,,1
baik1238-1-1000-1,,baik1238-1,1000,nifun mesaʔ,nifun mesaʔ,[],,[],,False,False,,1
baik1238-1-1000-2,,baik1238-1,1000,nifun es,nifun es,[],,[],,False,False,,1
baik1238-1-2000-1,,baik1238-1,2000,nifun nua,nifun nua,[],,[],,False,False,,1
