ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
busa1254-1-1-1,,busa1254-1,1,bo-siri,bo-siri,[],,[],,False,False,,1
busa1254-1-2-1,,busa1254-1,2,bo-ru,bo-ru,[],,[],,False,False,,1
busa1254-1-3-1,,busa1254-1,3,bo-toru,bo-toru,[],,[],,False,False,,1
busa1254-1-4-1,,busa1254-1,4,bo-ati,bo-ati,[],,[],,False,False,,1
busa1254-1-5-1,,busa1254-1,5,ri,ri,[],,[],,False,False,,1
busa1254-1-5-2,,busa1254-1,5,riŋ,riŋ,[],,[],,False,False,,1
busa1254-1-6-1,,busa1254-1,6,wonaŋ,wonaŋ,[],,[],,False,False,,1
busa1254-1-7-1,,busa1254-1,7,ruwu-varu,ruwu-varu,[],,[],,False,False,,1
busa1254-1-8-1,,busa1254-1,8,toro-varu,toro-varu,[],,[],,False,False,,1
busa1254-1-9-1,,busa1254-1,9,aro-varu,aro-varu,[],,[],,False,False,,1
busa1254-1-10-1,,busa1254-1,10,sura,sura,[],,[],,False,False,,1
busa1254-1-20-1,,busa1254-1,20,piarei,piarei,[],,[],,False,False,,1
