ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
bali1274-1-1-1,,bali1274-1,1,imoti,imoti,[],,[],,False,False,,1
bali1274-1-2-1,,bali1274-1,2,ɨɓalɨ,ɨɓalɨ,[],,[],,False,False,,1
bali1274-1-3-1,,bali1274-1,3,ɨsiaʉ,ɨsiaʉ,[],,[],,False,False,,1
bali1274-1-4-1,,bali1274-1,4,zɨna,zɨna,[],,[],,False,False,,1
bali1274-1-5-1,,bali1274-1,5,ɓʉkʉ,ɓʉkʉ,[],,[],,False,False,,1
bali1274-1-6-1,,bali1274-1,6,maɗɨa,maɗɨa,[],,[],,False,False,,1
bali1274-1-7-1,,bali1274-1,7,maɗɨa nʼeka,maɗɨa nʼeka,[],( 6 + 1 ) ?,[],,False,False,,1
bali1274-1-8-1,,bali1274-1,8,ɓapiɓalɨ,ɓapiɓalɨ,[],( 10 - 2 ) ?,[],,False,False,,1
bali1274-1-9-1,,bali1274-1,9,ɓapiɓalɨ nʼeka,ɓapiɓalɨ nʼeka,[],( 8 + 1 ) ?,[],,False,False,,1
bali1274-1-10-1,,bali1274-1,10,akomoɓoko,akomoɓoko,[],,[],,False,False,,1
bali1274-1-10-2,,bali1274-1,10,kumi,kumi,[],,[],,False,False,,1
bali1274-1-11-1,,bali1274-1,11,akomoɓoko ne imoti,akomoɓoko ne imoti,[],,[],,False,False,,1
bali1274-1-12-1,,bali1274-1,12,kʉmba,kʉmba,[],,[],,False,False,,1
bali1274-1-12-2,,bali1274-1,12,kumi ne ɨɓalɨ,kumi ne ɨɓalɨ,[],,[],,False,False,,1
bali1274-1-13-1,,bali1274-1,13,kumi ne ɨsiaʉ,kumi ne ɨsiaʉ,[],,[],,False,False,,1
bali1274-1-14-1,,bali1274-1,14,kumi na zɨna,kumi na zɨna,[],,[],,False,False,,1
bali1274-1-15-1,,bali1274-1,15,kumi na ɓʉkʉ,kumi na ɓʉkʉ,[],,[],,False,False,,1
bali1274-1-16-1,,bali1274-1,16,ɓapi maɗɨa,ɓapi maɗɨa,[],,[],,False,False,,1
bali1274-1-16-2,,bali1274-1,16,kumi na sita,kumi na sita,[],,[],,False,False,,1
bali1274-1-17-1,,bali1274-1,17,kumi na maɗɨa nʼeka,kumi na maɗɨa nʼeka,[],,[],,False,False,,1
bali1274-1-18-1,,bali1274-1,18,kumi na ɓapiɓalɨ,kumi na ɓapiɓalɨ,[],,[],,False,False,,1
bali1274-1-19-1,,bali1274-1,19,kumi na tisa,kumi na tisa,[],,[],,False,False,,1
bali1274-1-20-1,,bali1274-1,20,makumi maɓalɨ,makumi maɓalɨ,[],,[],,False,False,,1
bali1274-1-21-1,,bali1274-1,21,makumi maɓalɨ ne imoti,makumi maɓalɨ ne imoti,[],,[],,False,False,,1
bali1274-1-22-1,,bali1274-1,22,makumi maɓalɨ ne ɨɓalɨ,makumi maɓalɨ ne ɨɓalɨ,[],,[],,False,False,,1
bali1274-1-23-1,,bali1274-1,23,makumi maɓalɨ ne ɨsiaʉ,makumi maɓalɨ ne ɨsiaʉ,[],,[],,False,False,,1
bali1274-1-24-1,,bali1274-1,24,makumi maɓalɨ na zɨna,makumi maɓalɨ na zɨna,[],,[],,False,False,,1
bali1274-1-25-1,,bali1274-1,25,makumi maɓalɨ na ɓʉkʉ,makumi maɓalɨ na ɓʉkʉ,[],,[],,False,False,,1
bali1274-1-26-1,,bali1274-1,26,makumi maɓalɨ na maɗɨa,makumi maɓalɨ na maɗɨa,[],,[],,False,False,,1
bali1274-1-27-1,,bali1274-1,27,makumi maɓalɨ na maɗɨa nʼeka,makumi maɓalɨ na maɗɨa nʼeka,[],,[],,False,False,,1
bali1274-1-28-1,,bali1274-1,28,makumi maɓalɨ na ɓapiɓalɨ,makumi maɓalɨ na ɓapiɓalɨ,[],,[],,False,False,,1
bali1274-1-29-1,,bali1274-1,29,makumi maɓalɨ na suɓékómi,makumi maɓalɨ na suɓékómi,[],,[],,False,False,,1
bali1274-1-30-1,,bali1274-1,30,makumi masiaʉ,makumi masiaʉ,[],,[],,False,False,,1
bali1274-1-40-1,,bali1274-1,40,makumi zɨna,makumi zɨna,[],,[],,False,False,,1
bali1274-1-50-1,,bali1274-1,50,makumi ɓʉkʉ,makumi ɓʉkʉ,[],,[],,False,False,,1
bali1274-1-60-1,,bali1274-1,60,makumi sita,makumi sita,[],( 'sita' < Swahili ),[],,True,False,,1
bali1274-1-70-1,,bali1274-1,70,makumi saɓa,makumi saɓa,[],( 'saɓa' < Swahili ),[],,True,False,,1
bali1274-1-80-1,,bali1274-1,80,makumi munani,makumi munani,[],('munani'< Swahili ),[],,True,False,,1
bali1274-1-90-1,,bali1274-1,90,makumi tisa,makumi tisa,[],( 'tisa' < Swahili ),[],,True,False,,1
bali1274-1-100-1,,bali1274-1,100,mɨya moti,mɨya moti,[],( 'mɨya'< Swahili ),[],,True,False,,1
bali1274-1-200-1,,bali1274-1,200,mɨya uʼɓalɨ,mɨya uʼɓalɨ,[],,[],,False,False,,1
bali1274-1-1000-1,,bali1274-1,1000,elefu moti,elefu moti,[],( 'elefu' < Swahili),[],,True,False,,1
bali1274-1-2000-1,,bali1274-1,2000,elefu uʼɓalɨ,elefu uʼɓalɨ,[],,[],,False,False,,1
