ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
tich1238-1-1-1,,tich1238-1,1,tɕiʔ,tɕiʔ,[],,[],,False,False,,1
tich1238-1-2-1,,tich1238-1,2,ɲiː,ɲiː,[],,[],,False,False,,1
tich1238-1-3-1,,tich1238-1,3,sum,sum,[],,[],,False,False,,1
tich1238-1-4-1,,tich1238-1,4,ɕi̤ː,ɕi̤ː,[],,[],,False,False,,1
tich1238-1-5-1,,tich1238-1,5,ŋa,ŋa,[],,[],,False,False,,1
tich1238-1-6-1,,tich1238-1,6,ʈṳʔ,ʈṳʔ,[],,[],,False,False,,1
tich1238-1-7-1,,tich1238-1,7,tṳn,tṳn,[],,[],,False,False,,1
tich1238-1-8-1,,tich1238-1,8,ce̤ʔ,ce̤ʔ,[],,[],,False,False,,1
tich1238-1-9-1,,tich1238-1,9,kṳ,kṳ,[],,[],,False,False,,1
tich1238-1-10-1,,tich1238-1,10,tɕu,tɕu,[],,[],,False,False,,1
tich1238-1-11-1,,tich1238-1,11,tɕuːtɕiʔ,tɕuːtɕiʔ,[],,[],,False,False,,1
tich1238-1-12-1,,tich1238-1,12,tɕunɲiː,tɕunɲiː,[],,[],,False,False,,1
tich1238-1-20-1,,tich1238-1,20,ɲi̤ɕu,ɲi̤ɕu,[],,[],,False,False,,1
tich1238-1-100-1,,tich1238-1,100,cæ̤,cæ̤,[],,[],,False,False,,1
