ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
nene1249-2-1-1,,nene1249-2,1,ŋob,ŋob,[],,[],,False,False,,1
nene1249-2-1-2,,nene1249-2,1,ŋopoˑj,ŋopoˑj,[],,[],,False,False,,1
nene1249-2-2-1,,nene1249-2,2,sʲidʲa,sʲidʲa,[],,[],,False,False,,1
nene1249-2-3-1,,nene1249-2,3,nʲaxarʔ,nʲaxarʔ,[],,[],,False,False,,1
nene1249-2-4-1,,nene1249-2,4,tʲeta,tʲeta,[],,[],,False,False,,1
nene1249-2-5-1,,nene1249-2,5,səmpalʲaŋka,səmpalʲaŋka,[],,[],,False,False,,1
nene1249-2-6-1,,nene1249-2,6,mətaʔ,mətaʔ,[],,[],,False,False,,1
nene1249-2-7-1,,nene1249-2,7,sʲiːʔaw̠,sʲiːʔaw̠,[],,[],,False,False,,1
nene1249-2-8-1,,nene1249-2,8,sʲidantʲeta,sʲidantʲeta,[],( 2 x 8 ),[],,False,False,,1
nene1249-2-9-1,,nene1249-2,9,xasˑujuːʔ,xasˑujuːʔ,[],( 10 - 1),[],,False,False,,1
nene1249-2-10-1,,nene1249-2,10,juːʔ,juːʔ,[],,[],,False,False,,1
nene1249-2-11-1,,nene1249-2,11,ŋopoˑj jaŋɡanʲa,ŋopoˑj jaŋɡanʲa,[],,[],,False,False,,1
nene1249-2-12-1,,nene1249-2,12,sʲidʲa jaŋɡanʲa,sʲidʲa jaŋɡanʲa,[],,[],,False,False,,1
nene1249-2-13-1,,nene1249-2,13,nʲaxa̠rʔ jaŋɡanʲa,nʲaxa̠rʔ jaŋɡanʲa,[],,[],,False,False,,1
nene1249-2-14-1,,nene1249-2,14,tʲeta̠ jaŋɡanʲa,tʲeta̠ jaŋɡanʲa,[],,[],,False,False,,1
nene1249-2-15-1,,nene1249-2,15,səmpa̠lʲaŋka̠ jaŋɡanʲa,səmpa̠lʲaŋka̠ jaŋɡanʲa,[],,[],,False,False,,1
nene1249-2-16-1,,nene1249-2,16,məta̠ʔ jaŋɡanʲa,məta̠ʔ jaŋɡanʲa,[],,[],,False,False,,1
nene1249-2-17-1,,nene1249-2,17,sʲiːʔa̠w jaŋɡanʲa,sʲiːʔa̠w jaŋɡanʲa,[],,[],,False,False,,1
nene1249-2-18-1,,nene1249-2,18,sʲida̠ntʲeta̠ jaŋɡanʲa,sʲida̠ntʲeta̠ jaŋɡanʲa,[],,[],,False,False,,1
nene1249-2-19-1,,nene1249-2,19,xasˑujuːʔ jaŋɡanʲa,xasˑujuːʔ jaŋɡanʲa,[],,[],,False,False,,1
nene1249-2-20-1,,nene1249-2,20,sʲidʲa juːʔ,sʲidʲa juːʔ,[],,[],,False,False,,1
nene1249-2-21-1,,nene1249-2,21,sʲidʲa juːʔ ŋopoˑj,sʲidʲa juːʔ ŋopoˑj,[],,[],,False,False,,1
nene1249-2-22-1,,nene1249-2,22,sʲidʲa juːʔ sʲidʲa,sʲidʲa juːʔ sʲidʲa,[],,[],,False,False,,1
nene1249-2-23-1,,nene1249-2,23,sʲidʲa juːʔ nʲaxa̠rʔ,sʲidʲa juːʔ nʲaxa̠rʔ,[],,[],,False,False,,1
nene1249-2-24-1,,nene1249-2,24,sʲidʲa juːʔ tʲeta̠,sʲidʲa juːʔ tʲeta̠,[],,[],,False,False,,1
nene1249-2-25-1,,nene1249-2,25,sʲidʲa juːʔ səmpa̠lʲaŋka̠,sʲidʲa juːʔ səmpa̠lʲaŋka̠,[],,[],,False,False,,1
nene1249-2-26-1,,nene1249-2,26,sʲidʲa juːʔ məta̠ʔ,sʲidʲa juːʔ məta̠ʔ,[],,[],,False,False,,1
nene1249-2-27-1,,nene1249-2,27,sʲidʲa juːʔ sʲiːʔaw,sʲidʲa juːʔ sʲiːʔaw,[],,[],,False,False,,1
nene1249-2-28-1,,nene1249-2,28,sʲidʲa juːʔ sʲida̠ntʲeta̠,sʲidʲa juːʔ sʲida̠ntʲeta̠,[],,[],,False,False,,1
nene1249-2-29-1,,nene1249-2,29,sʲidʲa juːʔ xasˑujuːʔ,sʲidʲa juːʔ xasˑujuːʔ,[],,[],,False,False,,1
nene1249-2-30-1,,nene1249-2,30,nʲaxa̠rʔ juːʔ,nʲaxa̠rʔ juːʔ,[],,[],,False,False,,1
nene1249-2-40-1,,nene1249-2,40,tʲeta̠ juːʔ,tʲeta̠ juːʔ,[],,[],,False,False,,1
nene1249-2-50-1,,nene1249-2,50,səmpa̠lʲaŋka̠ juːʔ,səmpa̠lʲaŋka̠ juːʔ,[],,[],,False,False,,1
nene1249-2-60-1,,nene1249-2,60,məta̠ʔ juːʔ,məta̠ʔ juːʔ,[],,[],,False,False,,1
nene1249-2-70-1,,nene1249-2,70,sʲiːʔaw juːʔ,sʲiːʔaw juːʔ,[],,[],,False,False,,1
nene1249-2-80-1,,nene1249-2,80,sʲida̠ntʲeta̠ juːʔ,sʲida̠ntʲeta̠ juːʔ,[],,[],,False,False,,1
nene1249-2-90-1,,nene1249-2,90,xasˑujuːʔjuːʔ,xasˑujuːʔjuːʔ,[],,[],,False,False,,1
nene1249-2-100-1,,nene1249-2,100,jurʔ,jurʔ,[],,[],,False,False,,1
nene1249-2-200-1,,nene1249-2,200,sʲidʲa jurʔ,sʲidʲa jurʔ,[],,[],,False,False,,1
nene1249-2-1000-1,,nene1249-2,1000,jonərʔ,jonərʔ,[],,[],,False,False,,1
nene1249-2-2000-1,,nene1249-2,2000,sʲidʲa jonərʔ,sʲidʲa jonərʔ,[],,[],,False,False,,1
