ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
sika1263-1-1-1,,sika1263-1,1,kɡíɡ,kɡíɡ,[],,[],,False,False,,1
sika1263-1-1-2,,sika1263-1,1,kɡiɡ,kɡiɡ,[],,[],,False,False,,1
sika1263-1-2-1,,sika1263-1,2,bɛ̀tíá,bɛ̀tíá,[],,[],,False,False,,1
sika1263-1-2-2,,sika1263-1,2,betia,betia,[],,[],,False,False,,1
sika1263-1-3-1,,sika1263-1,3,bɛ̀tíákàkéd,bɛ̀tíákàkéd,[],,[],,False,False,,1
sika1263-1-3-2,,sika1263-1,3,betia ka kɡiɡ,betia ka kɡiɡ,[],,[],,False,False,,1
sika1263-1-4-1,,sika1263-1,4,bɛ̀tíáka bɛ̀tíáka,bɛ̀tíáka bɛ̀tíáka,[],( 2 + 2 ),[],,False,False,,1
sika1263-1-4-2,,sika1263-1,4,betia ka betia,betia ka betia,[],,[],,False,False,,1
sika1263-1-5-1,,sika1263-1,5,bɛ̀tíáka bɛ̀tíákakɡiɡ,bɛ̀tíáka bɛ̀tíákakɡiɡ,[],( 2 + 2 + 1 ),[],,False,False,,1
sika1263-1-5-2,,sika1263-1,5,betia ka betia ka kɡiɡ,betia ka betia ka kɡiɡ,[],,[],,False,False,,1
sika1263-1-6-1,,sika1263-1,6,bɛ̀tíákàkédkà,bɛ̀tíákàkédkà,[],,[],,False,False,,1
sika1263-1-6-2,,sika1263-1,6,betia ka betia ka betia,betia ka betia ka betia,[],,[],,False,False,,1
sika1263-1-7-1,,sika1263-1,7,bɛ̀tíákàkédka bɛ̀tíákakédkàkɡiɡ,bɛ̀tíákàkédka bɛ̀tíákakédkàkɡiɡ,[],,[],,False,False,,1
sika1263-1-7-2,,sika1263-1,7,betia ka betia ka betia ka kɡiɡ,betia ka betia ka betia ka kɡiɡ,[],,[],,False,False,,1
sika1263-1-8-1,,sika1263-1,8,bɛ̀tíákíkà bɛ̀tíákíkà,bɛ̀tíákíkà bɛ̀tíákíkà,[],,[],,False,False,,1
sika1263-1-9-1,,sika1263-1,9,bɛ̀tíákíkà bɛ̀tíákika kɡiɡ,bɛ̀tíákíkà bɛ̀tíákika kɡiɡ,[],,[],,False,False,,1
sika1263-1-10-1,,sika1263-1,10,bɛ̀tíákíkà bɛ̀tíákika bɛ̀tíákika,bɛ̀tíákíkà bɛ̀tíákika bɛ̀tíákika,[],,[],,False,False,,1
