ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
odoo1238-2-1-1,,odoo1238-2,1,hɔ̃,hɔ̃,[],(little finger),['chan2019'],,False,False,,2
odoo1238-2-2-1,,odoo1238-2,2,ˈhɔ̃mɑ̃kɔ̃lɑ̃,ˈhɔ̃mɑ̃kɔ̃lɑ̃,[],(ring finger),['chan2019'],,False,False,,2
odoo1238-2-3-1,,odoo1238-2,3,wɔluˈɡumɑkɔ̃lɑ̃,wɔluˈɡumɑkɔ̃lɑ̃,[],(middle finger),['chan2019'],,False,False,,2
odoo1238-2-4-1,,odoo1238-2,4,wɔluˈɡu,wɔluˈɡu,[],(index finger),['chan2019'],,False,False,,2
odoo1238-2-5-1,,odoo1238-2,5,ɛmeˈdi,ɛmeˈdi,[],(thumb),['chan2019'],,False,False,,2
odoo1238-2-6-1,,odoo1238-2,6,de bɔ,de bɔ,[],(palm),['chan2019'],,False,False,,2
odoo1238-2-7-1,,odoo1238-2,7,ɡɛbɛsiɡiˈli,ɡɛbɛsiɡiˈli,[],(wrist),['chan2019'],,False,False,,2
odoo1238-2-8-1,,odoo1238-2,8,de tɔ,de tɔ,[],(forearm),['chan2019'],,False,False,,2
odoo1238-2-9-1,,odoo1238-2,9,diˈmɑ,diˈmɑ,[],(elbow),['chan2019'],,False,False,,2
odoo1238-2-10-1,,odoo1238-2,10,dɛbɛˈgɛ kɑ̃ˈlẽ,dɛbɛˈgɛ kɑ̃ˈlẽ,[],(upper arm),['chan2019'],,False,False,,2
odoo1238-2-11-1,,odoo1238-2,11,ɛⁱ,ɛⁱ,[],(shoulder),['chan2019'],,False,False,,2
odoo1238-2-12-1,,odoo1238-2,12,tɛbiˈɡi,tɛbiˈɡi,[],(collar bone),['chan2019'],,False,False,,2
