ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
midd1357-1-1-1,,midd1357-1,1,yabur,yabur,[],,[],,False,False,,1
midd1357-1-1-2,,midd1357-1,1,yabul,yabul,[],,[],,False,False,,1
midd1357-1-2-1,,midd1357-1,2,bula,bula,[],,[],,False,False,,1
midd1357-1-2-2,,midd1357-1,2,buruhr,buruhr,[],,[],,False,False,,1
midd1357-1-3-1,,midd1357-1,3,bula yabur etc.,bula yabur etc.,[],,[],,False,False,,1
midd1357-1-4-1,,midd1357-1,4,bula-bula,bula-bula,[],,[],,False,False,,1
midd1357-1-4-2,,midd1357-1,4,bulah-bulah,bulah-bulah,[],,[],,False,False,,1
midd1357-1-4-3,,midd1357-1,4,buruhr-buruhr,buruhr-buruhr,[],,[],,False,False,,1
midd1357-1-5-1,,midd1357-1,5,bula bula yabur,bula bula yabur,[],,[],,False,False,,1
midd1357-1-5-2,,midd1357-1,5,buruhr-buruhr yabur and yugambeh danɡɡan,buruhr-buruhr yabur and yugambeh danɡɡan,[],( lit: hand ),[],,False,False,,1
